regShifter_area_LEN_2_MAG_1.rpt:Total cell area:                    18.354000
regShifter_area_LEN_2_MAG_2.rpt:Total cell area:                    18.088000
regShifter_area_LEN_4_MAG_1.rpt:Total cell area:                    36.707999
regShifter_area_LEN_4_MAG_2.rpt:Total cell area:                    49.209999
regShifter_area_LEN_4_MAG_4.rpt:Total cell area:                    52.667999
regShifter_area_LEN_8_MAG_1.rpt:Total cell area:                    85.386000
regShifter_area_LEN_8_MAG_4.rpt:Total cell area:                   132.468000
regShifter_area_LEN_8_MAG_8.rpt:Total cell area:                   137.522000
regShifter_area_LEN_16_MAG_1.rpt:Total cell area:                   174.762001
regShifter_area_LEN_16_MAG_8.rpt:Total cell area:                   285.684001
regShifter_area_LEN_16_MAG_16.rpt:Total cell area:                   321.328001
regShifter_area_LEN_32_MAG_1.rpt:Total cell area:                   353.248002
regShifter_area_LEN_32_MAG_16.rpt:Total cell area:                   717.668000
regShifter_area_LEN_32_MAG_32.rpt:Total cell area:                   736.022002
regShifter_area_LEN_64_MAG_1.rpt:Total cell area:                   714.742004
regShifter_area_LEN_64_MAG_32.rpt:Total cell area:                  1563.814005
regShifter_area_LEN_64_MAG_64.rpt:Total cell area:                  1599.458001
regShifter_area_LEN_128_MAG_1.rpt:Total cell area:                  1482.684007
regShifter_area_LEN_128_MAG_64.rpt:Total cell area:                  3687.557998
regShifter_area_LEN_128_MAG_128.rpt:Total cell area:                  3724.798006
