combShifter_area_LEN_2_MAG_1.rpt:Total cell area:                     7.980000
combShifter_area_LEN_2_MAG_2.rpt:Total cell area:                    12.502000
combShifter_area_LEN_4_MAG_1.rpt:Total cell area:                    14.630000
combShifter_area_LEN_4_MAG_2.rpt:Total cell area:                    22.078000
combShifter_area_LEN_4_MAG_4.rpt:Total cell area:                    17.556000
combShifter_area_LEN_8_MAG_1.rpt:Total cell area:                    25.270000
combShifter_area_LEN_8_MAG_4.rpt:Total cell area:                    51.604001
combShifter_area_LEN_8_MAG_8.rpt:Total cell area:                    62.244002
combShifter_area_LEN_16_MAG_1.rpt:Total cell area:                    46.550000
combShifter_area_LEN_16_MAG_8.rpt:Total cell area:                   203.756001
combShifter_area_LEN_16_MAG_16.rpt:Total cell area:                   243.922001
combShifter_area_LEN_32_MAG_1.rpt:Total cell area:                    89.908001
combShifter_area_LEN_32_MAG_16.rpt:Total cell area:                   791.350004
combShifter_area_LEN_32_MAG_32.rpt:Total cell area:                   938.714002
combShifter_area_LEN_64_MAG_1.rpt:Total cell area:                   177.422002
combShifter_area_LEN_64_MAG_32.rpt:Total cell area:                  3110.072013
combShifter_area_LEN_64_MAG_64.rpt:Total cell area:                  3633.294013
combShifter_area_LEN_128_MAG_1.rpt:Total cell area:                   367.080003
combShifter_area_LEN_128_MAG_64.rpt:Total cell area:                 12655.482051
combShifter_area_LEN_128_MAG_128.rpt:Total cell area:                 14543.284067
